name,diet,period_name,period_year(million_years_ago),continent,lived_in,type,length,named_by
aardonyx,herbivorous,Early Jurassic,199-189,Africa,South Africa,sauropod,8.0,Yates Bonnan Neveling Chinsamy and Blackbeard 2010 (2009)
abelisaurus,carnivorous,Late Cretaceous,74-70,America del Sur,Argentina,large theropod,9.0,Bonaparte and Novas (1985)
achelousaurus,herbivorous,Late Cretaceous,83-70,América del Norte,USA,ceratopsian,6.0,Sampson  (1995)
achillobator,carnivorous,Late Cretaceous,99-84,Asia,Mongolia,large theropod,5.0,Perle Norell and Clark (1999)
acrocanthosaurus,carnivorous,Early Cretaceous,115-105,América del Norte,USA,large theropod,12.0,Stovall and Langston (1950)
aegyptosaurus,herbivorous,Late Cretaceous,98-93,Africa,Egypt,sauropod,15.0,Stromer (1932)
afrovenator,carnivorous,Early Cretaceous,132-121,Africa,Niger,large theropod,9.0,Sereno Wilson Larsson Dutheil and Sues (1944)
agilisaurus,herbivorous,Late Jurassic,169-159,Asia,China,euornithopod,1.5,Peng (1990)
alamosaurus,herbivorous,Late Cretaceous,70-65,América del Norte,USA,sauropod,21.0,Gilmore (1922)
albertaceratops,herbivorous,Late Cretaceous,80-75,América del Norte,USA,ceratopsian,7.0,Ryan 2007
albertosaurus,carnivorous,Late Cretaceous,76-74,América del Norte,Canada,large theropod,9.0,Lamb (1914)
alectrosaurus,carnivorous,Late Cretaceous,90-70,Asia,Mongolia,large theropod,5.0,Gilmore (1933)
alioramus,carnivorous,Late Cretaceous,71-65,Asia,Mongolia,large theropod,6.0,Kurzanov (1976)
allosaurus,carnivorous,Late Jurassic,156-144,América del Norte,USA,large theropod,12.0,Marsh (1877)
alvarezsaurus,carnivorous,Late Cretaceous,89-85,America del Sur,Argentina,small theropod,2.0,Bonaparte (1991)
amargasaurus,herbivorous,Early Cretaceous,132-127,America del Sur,Argentina,sauropod,12.0,Salgado and Bonaparte (1991)
ammosaurus,herbivorous,Early Jurassic,195-180,América del Norte,USA,sauropod,5.0,Marsh (1891)
ampelosaurus,herbivorous,Late Cretaceous,71-65,Europa,France,sauropod,15.0,Le Loeuff (1995)
amygdalodon,herbivorous,Mid Jurassic,177-169,America del Sur,Argentina,sauropod,15.0,Cabrera (1947)
anchiceratops,herbivorous,Late Cretaceous,74-70,América del Norte,Canada,ceratopsian,6.0,Brown (1914)
anchisaurus,herbivorous,Early Jurassic,190,América del Norte,USA,sauropod,2.0,Marsh (1885)
ankylosaurus,herbivorous,Late Cretaceous,74-67,América del Norte,USA,armoured dinosaur,7.0,Brown (1908)
anserimimus,carnivorous,Late Cretaceous,84-65,Asia,Mongolia,large theropod,3.5,Barsbold (1988)
antarctosaurus,herbivorous,Late Cretaceous,84-65,America del Sur,Uruguay,sauropod,18.0,von Huene (1929)
apatosaurus,herbivorous,Late Jurassic,154-145,América del Norte,USA,sauropod,21.0,Marsh (1877)
aragosaurus,herbivorous,Early Cretaceous,132-121,Europa,Spain,sauropod,18.0,Sanz Buscalioni Casanovas and Sanafé (1987)
aralosaurus,herbivorous,Late Cretaceous,94-84,Asia,Kazakhstan,euornithopod,8.0,Rozhdestvensky (1968)
archaeoceratops,herbivorous,Early Cretaceous,121-99,Asia,China,ceratopsian,1.3,Dong and Azuma (1987)
archaeopteryx,carnivorous,Late Jurassic,147,Europa,Germany,small theropod,0.5,Mayer (1861)
archaeornithomimus,carnivorous,Late Cretaceous,95-70,Asia,Uzbekistan,small theropod,3.5,Russell (1972)
argentinosaurus,herbivorous,Late Cretaceous,90,America del Sur,Argentina,sauropod,35.0,Bonaparte and Coria (1993)
arrhinoceratops,herbivorous,Late Cretaceous,72-67,América del Norte,Canada,ceratopsian,6.0,Parks (1925)
atlascopcosaurus,herbivorous,Early Cretaceous,121-97,Oceanía,Australia,euornithopod,3.0,Rich and Rich (1989)
aucasaurus,carnivorous,Late Cretaceous,84-71,America del Sur,Argentina,large theropod,5.0,Coria Chiappe and Dingus (2002)
austrosaurus,herbivorous,Early Cretaceous,112-99,Oceanía,Australia,sauropod,15.0,Longman (1933)
avaceratops,herbivorous,Late Cretaceous,80-75,América del Norte,USA,ceratopsian,2.3,Dodson (1986)
avimimus,omnivorous,Late Cretaceous,80-75,Asia,Mongolia,small theropod,1.5,Kurzanov (1981)
bactrosaurus,herbivorous,Late Cretaceous,84-71,Asia,China,euornithopod,6.0,Gilmore (1933)
bagaceratops,herbivorous,Late Cretaceous,85-80,Asia,Mongolia,ceratopsian,1.0,Maryanska and Osmolska (1975)
bambiraptor,carnivorous,Late Cretaceous,84-71,América del Norte,USA,small theropod,1.0,Burnham Derstler Currie Bakker Zhou and Ostrom (2000)
barapasaurus,herbivorous,Early Jurassic,185-170,Asia,India,sauropod,14.0,Jain Kutty Roy-Chowdhury and Chatterjee (1975)
barosaurus,herbivorous,Late Jurassic,155-145,América del Norte,USA,sauropod,24.0,Marsh (1890)
baryonyx,carnivorous,Early Cretaceous,125,Europa,United Kingdom,large theropod,10.0,Charig and Milner (1987)
becklespinax,carnivorous,Early Cretaceous,142-132,Europa,United Kingdom,large theropod,5.0,Paul (1988)
beipiaosaurus,omnivorous,Early Cretaceous,127-121,Asia,China,small theropod,2.0,Xu Tang and Wang (1999)
bellusaurus,herbivorous,Mid Jurassic,180-159,Asia,China,sauropod,5.0,Dong and Azuma (1990)
borogovia,carnivorous,Late Cretaceous,84-65,Asia,Mongolia,small theropod,1.5,Osmólska (1987)
brachiosaurus,herbivorous,Late Jurassic,155-140,América del Norte,USA,sauropod,30.0,Riggs (1903)
brachylophosaurus,herbivorous,Late Cretaceous,89-88,América del Norte,USA,euornithopod,7.0,C. M. Sternberg (1953)
brachytrachelopan,herbivorous,Mid Jurassic,150,America del Sur,Argentina,sauropod,10.0,Rauhut Remes Fechner Cladera and Puerta (2005)
buitreraptor,carnivorous,Late Cretaceous,99-90,America del Sur,Argentina,small theropod,1.3,Makovicky Apesteguía &amp; Agnolin (2005)
camarasaurus,herbivorous,Late Jurassic,150-140,América del Norte,USA,sauropod,23.0,Cope (1877)
camptosaurus,herbivorous,Late Jurassic,155-145,América del Norte,USA,euornithopod,5.0,Marsh (1885)
carcharodontosaurus,carnivorous,Late Cretaceous,98-94,Africa,North Africa,large theropod,15.0,Stromer (1931)
carnotaurus,carnivorous,Late Cretaceous,70,America del Sur,Argentina,large theropod,7.6,Bonaparte (1985)
caudipteryx,omnivorous,Early Cretaceous,125-122,Asia,China,small theropod,1.0,Ji Currie Norell and Ji. (1998)
cedarpelta,herbivorous,Early Cretaceous,142-127,América del Norte,USA,armoured dinosaur,10.0,Carpenter Kirkland Burge and Bird (2001)
centrosaurus,herbivorous,Late Cretaceous,76-74,América del Norte,Canada,ceratopsian,6.0,apertus
ceratosaurus,carnivorous,Late Jurassic,153-148,América del Norte,USA,large theropod,6.0,Marsh (1884)
cetiosauriscus,herbivorous,Mid Jurassic,175-160,Europa,United Kingdom,sauropod,15.0,von Huene (1927)
cetiosaurus,herbivorous,Mid Jurassic,170-160,Europa,United Kingdom,sauropod,18.0,Phillips (1871)
chaoyangsaurus,herbivorous,Late Jurassic,152-145,Asia,China,ceratopsian,1.1,Zhao Cheng and Xu (1999)
chasmosaurus,herbivorous,Late Cretaceous,76-74,América del Norte,Canada,ceratopsian,5.0,belli
chindesaurus,carnivorous,Late Triassic,227-210,América del Norte,USA,small theropod,4.0,Long and Murry (1995)
chinshakiangosaurus,herbivorous,Late Jurassic,159-142,Asia,China,sauropod,11.0,Yeh (1975)
chirostenotes,omnivorous,Late Jurassic,79-67,América del Norte,Canada,small theropod,1.7,Gilmore (1924)
chubutisaurus,herbivorous,Early Cretaceous,112-99,America del Sur,Argentina,sauropod,23.0,Corro (1974)
chungkingosaurus,herbivorous,Late Jurassic,159-142,Asia,China,armoured dinosaur,4.0,Dong Zhou and Zhang (1983)
citipati,omnivorous,Late Cretaceous,81-75,Asia,Mongolia,small theropod,2.1,Clark Norell and Barsbold (2001)
coelophysis,carnivorous,Late Triassic,225-190,Africa,Zimbabwe,small theropod,2.0,bauri
coelurus,carnivorous,Late Jurassic,155-145,América del Norte,USA,small theropod,1.8,Marsh (1879)
coloradisaurus,omnivorous,Late Triassic,221-210,America del Sur,Argentina,sauropod,4.0,Bonaparte (1978)
compsognathus,carnivorous,Late Jurassic,145-140,Europa,Germany,small theropod,0.65,Wagner (1859)
conchoraptor,carnivorous,Late Cretaceous,81-76,Asia,Mongolia,small theropod,1.5,Barsbold (1986)
confuciusornis,carnivorous,Early Cretaceous,127-121,Asia,China,small theropod,0.25,Hou Zhou Gu and Zhang (1995)
corythosaurus,herbivorous,Late Cretaceous,76-74,América del Norte,USA,euornithopod,10.0,Brown (1914)
cryolophosaurus,carnivorous,Early Jurassic,170,Antarctica,Antarctica,large theropod,8.0,Hammer and Hickerson (1994)
dacentrurus,herbivorous,Late Jurassic,154-150,Europa,United Kingdom,armoured dinosaur,6.0,Lucas (1902)
daspletosaurus,carnivorous,Late Cretaceous,76-74,América del Norte,Canada,large theropod,9.0,Russell (1970)
datousaurus,herbivorous,Mid Jurassic,170,Asia,China,sauropod,15.0,Dong and Tang (1984)
deinocheirus,omnivorous,Late Cretaceous,70-66,Asia,Mongolia,large theropod,10.0,Osmólska and Roniewicz (1970)
deinonychus,carnivorous,Early Cretaceous,120-110,América del Norte,USA,small theropod,3.0,Ostrom (1969)
deltadromeus,carnivorous,Late Cretaceous,99-94,Africa,Morocco,large theropod,8.1,Sereno Duthiel Iarochene Larsson Lyon Magwene Sidor Varricchio and Wilson (1996)
dicraeosaurus,herbivorous,Late Jurassic,150-135,Africa,Tanzania,sauropod,20.0,Janensch (1914)
dilophosaurus,carnivorous,Early Jurassic,190,América del Norte,USA,large theropod,6.0,wetherilli
diplodocus,herbivorous,Late Jurassic,155-145,América del Norte,USA,sauropod,26.0,Marsh (1878)
dromaeosaurus,carnivorous,Late Cretaceous,76-74,América del Norte,USA,small theropod,1.8,Matthew and Brown (1922)
dromiceiomimus,omnivorous,Late Cretaceous,74-70,América del Norte,Canada,large theropod,3.5,Parks (1926)
dryosaurus,herbivorous,Late Jurassic,155-140,América del Norte,USA,euornithopod,4.0,Marsh (1894)
dryptosaurus,carnivorous,Late Cretaceous,84-65,América del Norte,USA,large theropod,6.4,Cope (1866)
dubreuillosaurus,carnivorous,Late Jurassic,169-164,Europa,France,large theropod,9.0,Allain (2005)
edmontonia,herbivorous,Late Cretaceous,76-74,América del Norte,Canada,armoured dinosaur,4.0,Sternberg (1928)
edmontosaurus,herbivorous,Late Cretaceous,76-65,América del Norte,Canada,euornithopod,13.0,Lambe (1917)
einiosaurus,herbivorous,Late Cretaceous,74,América del Norte,USA,ceratopsian,6.0,Sampson  (1995)
elaphrosaurus,carnivorous,Late Jurassic,154-151,Africa,Tanzania,large theropod,6.2,Janensch (1920)
emausaurus,herbivorous,Mid Jurassic,190-180,Europa,Germany,armoured dinosaur,2.0,Haubold (1991)
eolambia,herbivorous,Late Cretaceous,99-94,América del Norte,USA,euornithopod,6.0,Kirkland (1998)
eoraptor,carnivorous,Late Triassic,228,America del Sur,Argentina,small theropod,1.0,Sereno Forster Rogers and Monetta (1993)
eotyrannus,carnivorous,Early Cretaceous,127-121,Europa,United Kingdom,large theropod,5.0,Hutt Naish Martill Barker and Newberry (2001)
equijubus,herbivorous,Early Cretaceous,127-99,Asia,China,euornithopod,7.0,You Luo Shubin Witmer Tang and Tang (2003)
erketu,herbivorous,Early Cretaceous,,Asia,Mongolia,sauropod,15.0,Ksepka and Norell (2006)
erlikosaurus,omnivorous,Late Cretaceous,99-89,Asia,Mongolia,small theropod,3.4,Perle vide Barsbold and Perle (1980)
euhelopus,herbivorous,Late Jurassic,154-142,Asia,China,sauropod,10.0,Wiman (1929)
euoplocephalus,herbivorous,Late Cretaceous,76-70,América del Norte,USA,armoured dinosaur,7.0,tutus
europasaurus,herbivorous,Late Jurassic,154-151,Europa,Germany,sauropod,6.2,Sander Mateus Laven and Knötschke (2006)
eustreptospondylus,carnivorous,Mid Jurassic,165,Europa,United Kingdom,large theropod,7.0,Walker (1964)
fukuiraptor,carnivorous,Early Cretaceous,121-99,Asia,Japan,large theropod,4.2,Azuma and Currie (2000)
fukuisaurus,herbivorous,Early Cretaceous,121-99,Asia,Japan,euornithopod,4.7,Kobayashi and Azuma (2003)
gallimimus,omnivorous,Late Cretaceous,74-70,Asia,Mongolia,large theropod,6.0,Osmólska Roniewicz and Barsbold (1972)
gargoyleosaurus,herbivorous,Late Jurassic,154-142,América del Norte,USA,armoured dinosaur,4.0,Carpenter Miles and Cloward (1998)
garudimimus,omnivorous,Late Cretaceous,99-89,Asia,Mongolia,large theropod,4.7,Barsbold (1981)
gasosaurus,carnivorous,Mid Jurassic,170-160,Asia,China,small theropod,4.0,Dong and Tang (1985)
gasparinisaura,herbivorous,Late Cretaceous,86-71,America del Sur,Argentina,euornithopod,0.8,Coria and Salgado (1996)
gastonia,herbivorous,Early Cretaceous,142-127,América del Norte,USA,armoured dinosaur,4.6,Kirkland (1998)
giganotosaurus,carnivorous,Early Cretaceous,112-90,America del Sur,Argentina,large theropod,12.5,Coria and Salgado (1995)
gilmoreosaurus,herbivorous,Late Cretaceous,76-70,Asia,China,euornithopod,6.0,Brett-Surman (1979)
giraffatitan,herbivorous,Late Jurassic,154-142,Africa,Tanzania,sauropod,23.0,Janensch (1914)
gobisaurus,herbivorous,Early Cretaceous,121-99,Asia,China,armoured dinosaur,5.0,Vickaryous Russell Currie and Zhao (2001)
gorgosaurus,carnivorous,Late Cretaceous,80-73,América del Norte,USA,large theropod,8.6,Lamb (1914)
goyocephale,herbivorous,Late Cretaceous,81-75,Asia,Mongolia,large theropod,2.0,Perle Maryańska and Osmólska (1982)
graciliceratops,herbivorous,Late Cretaceous,99-84,Asia,Mongolia,ceratopsian,2.0,Sereno (2000)
gryposaurus,herbivorous,Late Cretaceous,86-71,América del Norte,USA,euornithopod,10.0,Lambe (1914)
guaibasaurus,herbivorous,Late Triassic,221-210,America del Sur,Brazil,small theropod,1.8,Bonaparte Ferigolo and Ribeiro (1999)
guanlong,carnivorous,Late Jurassic,159-154,Asia,China,small theropod,3.0,Xu Clark Forster Norell Erickson Eberth Jia and Zhao (2006)
hadrosaurus,herbivorous,Late Cretaceous,78-74,América del Norte,USA,euornithopod,9.0,Leidy (1858)
hagryphus,omnivorous,Late Cretaceous,,América del Norte,USA,small theropod,3.0,Zanno and Sampson (2005)
haplocanthosaurus,herbivorous,Late Jurassic,154-142,América del Norte,USA,sauropod,21.5,Hatcher (1903)
harpymimus,omnivorous,Early Cretaceous,121-99,Asia,Mongolia,small theropod,2.0,Barsbold and Perle (1984)
herrerasaurus,carnivorous,Late Triassic,228,America del Sur,Argentina,small theropod,3.0,Reig (1963)
hesperosaurus,herbivorous,Late Jurassic,154-142,América del Norte,USA,armoured dinosaur,6.0,Carpenter Miles and Cloward (2001)
heterodontosaurus,herbivorous,Early Jurassic,205,Africa,South Africa,euornithopod,1.2,Crompton and Charig (1962)
heyuannia,omnivorous,Late Cretaceous,72-68,Asia,Mongolia,small theropod,2.0,Barsbold (1981)
homalocephale,herbivorous,Late Cretaceous,72-68,Asia,Mongolia,euornithopod,1.5,Maryańska and Osmólska (1974)
huayangosaurus,herbivorous,Mid Jurassic,170-160,Asia,China,armoured dinosaur,4.5,Dong Tang and Zhou (1982)
hylaeosaurus,herbivorous,Early Cretaceous,150-135,Europa,United Kingdom,armoured dinosaur,5.0,Mantell (1833)
hypacrosaurus,herbivorous,Late Cretaceous,70,América del Norte,USA,euornithopod,9.0,Brown (1913)
hypsilophodon,herbivorous,Early Cretaceous,125,Europa,United Kingdom,euornithopod,2.3,Huxley (1869)
iguanodon,herbivorous,Early Cretaceous,140-110,Europa,United Kingdom,euornithopod,10.0,Boulenger and van Beneden (1881)
indosuchus,carnivorous,Late Cretaceous,71-65,Asia,India,large theropod,7.0,Huene and Matley (1933)
irritator,carnivorous,Early Cretaceous,112-99,America del Sur,Brazil,large theropod,6.5,Martill Cruickshank Frey Small and Clarke (1996)
isisaurus,herbivorous,Late Cretaceous,71-65,Asia,India,sauropod,18.0,Jain and Bandyopadhyay (1997)
janenschia,herbivorous,Late Jurassic,154-151,Africa,Tanzania,sauropod,20.0,Wild (1991)
jaxartosaurus,herbivorous,Late Cretaceous,94-84,Asia,Kazakhstan,euornithopod,9.0,Riabinin (1939)
jingshanosaurus,herbivorous,Early Jurassic,205-190,Asia,China,sauropod,5.0,Zhang and Yang (1995)
jinzhousaurus,herbivorous,Early Cretaceous,127-121,Asia,China,euornithopod,7.0,Wang and Xu (2001)
jobaria,herbivorous,Early Cretaceous,132-94,Africa,Niger,sauropod,21.0,Sereno Beck Dutheil Larsson Lyon Moussa Sadleir Sidor Varricchio Wilson and Wilson (1999)
juravenator,carnivorous,Late Jurassic,154-151,Europa,Germany,small theropod,0.8,Göhlich &amp; Chiappe (2006)
kentrosaurus,herbivorous,Late Jurassic,155-150,Africa,Tanzania,armoured dinosaur,5.0,Hennig (1915)
khaan,omnivorous,Late Cretaceous,81-75,Asia,Mongolia,small theropod,1.8,Clark Norell and Barsbold (2001)
kotasaurus,herbivorous,Early Jurassic,205-180,Asia,India,sauropod,9.0,Yadagiri (1988)
kritosaurus,herbivorous,Late Cretaceous,78-74,América del Norte,USA,euornithopod,8.0,Brown (1910)
lambeosaurus,herbivorous,Late Cretaceous,76-74,América del Norte,Canada,euornithopod,9.0,Parks (1923)
