Nombre,Altura,Peso
Aardonyx,"1,3 metros",1.4 toneladas
Abdarainurus,4-5 metros,Nan
Nuevas imágenes,Nan,Nan
,Nan,Nan
,Nan,Nan
Abelisaurus Comahuensis,2 metros,1400-3000 Kg
Abrictosaurus consors,40 cm,27 kg
Abrosaurus,4 metros,7 toneladas
Abydosaurus mcintoshi,7 metros,22 toneladas
Acantholipan gonzalezi,Nan,Más de media tonelada
Acanthopholis,1 metro,800 kg
Achelousaurus,2 metros,"posiblemente, 2 toneladas"
Acheroraptor temertyorum,65 cm,40 kg
Achillesaurus,"1,5 metros",70 kg
Achillobator,"1,6 metros",520 kg
Acristavus,2 metros,2 toneladas
Acrocanthosaurus,4 metros,5 toneladas
Acrotholus,40 cm,20 kg
Adamantisaurus,4 metros,10 toneladas
Adasaurus,60 cm,20 kg
Adeopapposaurus,1 metro,290 kg
Adratiklit,2 metros y medio,Nan
Adynomosaurus,Nan,Nan
Aegyptosaurus,5 metros,17 toneladas
,Nan,Nan
Aeolosaurus,4 metros,20 toneladas
Aepisaurus,4 metros,12 toneladas
Aerosteon,"2,5 metros",2 toneladas
Afrovenator,"2,3 metros","1,5 toneladas"
Agathaumas,2 metros,6 toneladas
Agilisaurus,40 cm,22 kg
Agnosphitys,Nan,Nan
Agrosaurus,1 metros,280 kg
Agujaceratops,2 metros,2 toneladas
Agustinia,5 metros,9 toneladas
Ahshislepelta,80 cm,120 kg
Ajancingenia,70 cm,35 kg
Ajkaceratops,Nan,Nan
Ajnabia,Nan,Nan
Alamosaurus,entre 6 y 7 metros,27 toneladas
Alaskacephale,Nan,80 Kilogramos
Albalophosaurus,80 cm,45 kg
Albertaceratops,"1,9 a 2,5 metros",453 kg
Albertadromeus,20 a 30 cm,15 a 20 kg
Albertavenator,Nan,Nan
Albertonykus,29 cm,1 kg
,Nan,Nan
Albertosaurus,2.8 metros,"2,5 toneladas"
Albinykus,25 cm,800 g
Alcovasaurus,2 metros,Nan
Alectrosaurus,2 metros,"1,2 toneladas"
Aletopelta,2 metros,500 kg
Algoasaurus,"2,7 metros",3 toneladas
Alioramus,2 metros,400 kg
,Nan,Nan
,Nan,Nan
,Nan,Nan
Allosaurus,2 a 3 metros (según la especie),"1,5 - 3 toneladas (según la especie)"
Alnashetri,20 cm,"1,2 kg"
Alocodon,50 cm,30 kg
Altirhinus,2 metros,"1,4 toneladas"
Altispinax,"2,1 metros",1 tonelada
,Nan,Nan
Alvarezsaurus,70 cm,20 kg
,Nan,Nan
Alxasaurus,2 metros,320 kg
Amanzia,2-3 metros,Nan
Amargasaurus,4 metros,8 toneladas
Amargastegos,1 metros,500 kg
Amargatitanis,Nan,47 toneladas
Amazonsaurus,"2,8 metros","3,7 toneladas"
Ambopteryx,Nan,306 gramos
Ammosaurus,"1,8 metros erguido",45 kilogramos
Ampelosaurus,"3,8 metros",6 toneladas
Amphicoelias,5 metros (A. Altus) 10 metros (A. Fragillimus),"30 toneladas (A. Altus) 122,4 toneladas (A. Fragillimus)"
Amurosaurus,2-3 metros,"1,5 toneladas"
Amygdalodon,4 metros,Nan
Anabisetia,60 cm,25 kg
,Nan,Nan
Anatotitan copei,3 metros (5 en posición bípeda),7 toneladas
Anchiceratops,2 metros,"4,8 toneladas"
Anchiornis,20 cettímetros,2 kg
Anchisaurus,70 cm,25 kg
Andesaurus,6 metros,10 toneladas
Angaturama,"2,3 metros",900 kg
Aniksosaurus,70 cm,120 kg
,Nan,Nan
Ankylosaurus,"2,40 metros de los pies hasta la espina mas alta y de los pies hasta la espalda 2,30",8 toneladas
Anodontosaurus,1-2 metros,"2,5 toneladas"
Anserimimus,"1,7 metros",60 kg
Antarctopelta,Nan,Nan
Antarctosaurus,"6 a 8 m, 12 m (cuello erguido) y 20 m (posado en 2 patas)",Entre 20 y 60 toneladas
Antrodemus,"3,1 metros","2,4 toneladas"
Anzu,2 metros,200 - 300 Kilogramos
Aoniraptor,Nan,Nan
Apatodon,3 metros,"2,6 toneladas"
Apatoraptor,Nan,150-180 kilogramos
Apatosaurus,"4,4 metros",31 toneladas
Appalachiosaurus,3 metros,4 toneladas
Aquilops,40 cm aprox,entre 5 a 7 Kg
Arackar licanantay,Nan,Nan
Aragosaurus,8 metros,22 toneladas
Aralosaurus tuberiferus,"2,5 metros",5 toneladas
Aratasaurus,Nan,Nan
Archaeoceratops,Nan,24 kg
Archaeodontosaurus,Nan,4 a 5 Toneladas
,Nan,Nan
Archaeornithomimus,"1,6 metros",75 kg
Arcovenator,"2,5 metros",450 kg
Arenysaurus,"1,5 a 2,5 Metros",1 - 2 Toneladas
Argentinosaurus,"6,8 Metros (Hasta los hombros)",75 toneladas
,Nan,Nan
Argyrosaurus,6 metros,16 toneladas
Aristosuchus,1 metro,30 kg
Arkansaurus,2 metros,200 kg
Arrhinoceratops,"2,4 metros",6 toneladas
,Nan,Nan
Asfaltovenator,"2,3 metros",2 toneladas
,Nan,Nan
Astrodon,9 metros,7 toneladas
,Nan,Nan
Atlantosaurus,4 metros,17 toneladas
Atlasaurus,"4,5 metros",12 toneladas
Atlascopcosaurus,70 cm,95 kg
Atrociraptor,50 cm,25 kg
Atsinganosaurus,12 metros,5 toneladas
Aublysodon,"1,6 metros",800 kg
Aucasaurus garridoi,"2,4 metros",700 kilogramos
Augustynolophus,Nan,Nan
Auroraceratops,Nan,Nan
Aurornis,15 cm,140 gramos
Australovenator,2 metros,500-1000 kilogramos
Austrocheirus,"1,4 metros",640 kg
Austroposeidon,Nan,Nan
Austroraptor cabazai,2 metros,400 kg
Austrosaurus,Nan,10 toneladas
Avaceratops,80 cm,60 kg
,Nan,Nan
Aviatyrannis,30 centímetros,38 kilos
Avimimus,1 metro,20 kg
Avipes,2mts,14 klg
Bactrosaurus,2 metros,"1,5 toneladas"
Bagaceratops,20 cm,30 kg
Bagaraatan,"1,3 metros",75 kg
Bagualia,4.5 metros,Nan
Bahariasaurus,"3,5 metros",4 toneladas
Bajadasaurus,Nan,Nan
Balaur bondoc,80 centímetros,20 kilogramos
Balochisaurus,"max 2,50 m",Nan
Bambiraptor,30 centímetros,2 kg
Banji,Nan,Nan
Barapasaurus,5 a 6 metros,12 toneladas
Barosaurus,6 metros,34 toneladas
Barrosasaurus,Nan,Nan
Barsboldia,"2,7 metros","3,2 toneladas"
,Nan,Nan
Baryonyx,2.5 metros a la cadera,1.700-2.700 kilogramos
Baurutitan,3 metros,4 toneladas
Bayosaurus,"1,2 metros",570 kg
Becklespinax,"2,3 metros","2,8 toneladas"
Beg tse,Nan,15-20 kilogramos
Beipiaosaurus,"1,7 metros",85 kg
Beishanlong,3 mts,54 klg
Berberosaurus,"1,2 metros",30 kg
Berthasaura,Nan,10 kg.
Betasuchus,80 cm,38 kg
Bicentenaria,85 cm,40 kg
Bienosaurus,50 cm,40 kg
Bistahiversor,"2,8 metros","1,2 toneladas"
Blasisaurus,3 metros,Nan
,Nan,Nan
,Nan,Nan
,Nan,Nan
Bonapartenykus,1 metros,20 kg
Bonapartesaurus,Nan,Nan
Bonatitan,"1,5 metros",3 toneladas
Bonitasaura,4 metros,5 toneladas
Borealosaurus,Nan,10 toneladas
Borogovia,80 cm,30 kg
Bothriospondylus,5 metros,15 toneladas
,Nan,Nan
Brachiosaurus,12 - 15 metros,33 - 37 toneladas
Brachyceratops,"1,55 metros",450 kg
Brachylophosaurus,"2,5 metros","3,7 toneladas"
Brachytrachelopan,3 metros,4 toneladas
Bradycneme,Nan,Nan
Bravasaurus,2 metros,Nan
Breviparopus,7 - 33 metros,55 - 63 t posiblemente
Brighstoneous,Nan,1 tonelada.
Brohisaurus,12 metros,Nan
Brontomerus,5 metros,6 toneladas
Brontosaurus,"4,2 metros",30 toneladas
Bruhathkayosaurus,Entre 4 y 7 metros,Entre 80 y 220 toneladas
Buitreraptor,40 cm,5 kg
Buriolestes,60 centímetros,Nan
Byronosaurus,50 cm,14 kg
Caenagnathasia,"1,37 mts",509 klg
Caenagnathus,Nan,30-90 kilogramos
Caihong,40 cm,475 g
Aardonyx,"1,3 metros",1.4 toneladas
Abdarainurus,4-5 metros,Nan
,Nan,Nan
,Nan,Nan
,Nan,Nan
Abelisaurus Comahuensis,2 metros,1400-3000 Kg
Abrictosaurus consors,40 cm,27 kg
Abrosaurus,4 metros,7 toneladas
Abydosaurus mcintoshi,7 metros,22 toneladas
Acantholipan gonzalezi,Nan,Más de media tonelada
Acanthopholis,1 metro,800 kg
Achelousaurus,2 metros,"posiblemente, 2 toneladas"
Acheroraptor temertyorum,65 cm,40 kg
Achillesaurus,"1,5 metros",70 kg
Achillobator,"1,6 metros",520 kg
Acristavus,2 metros,2 toneladas
Acrocanthosaurus,4 metros,5 toneladas
Acrotholus,40 cm,20 kg
Adamantisaurus,4 metros,10 toneladas
Adasaurus,60 cm,20 kg
Adeopapposaurus,1 metro,290 kg
Adratiklit,2 metros y medio,Nan
Adynomosaurus,Nan,Nan
Aegyptosaurus,5 metros,17 toneladas
,Nan,Nan
Aeolosaurus,4 metros,20 toneladas
Aepisaurus,4 metros,12 toneladas
Aerosteon,"2,5 metros",2 toneladas
Afrovenator,"2,3 metros","1,5 toneladas"
Agathaumas,2 metros,6 toneladas
Agilisaurus,40 cm,22 kg
Agnosphitys,Nan,Nan
Agrosaurus,1 metros,280 kg
Agujaceratops,2 metros,2 toneladas
Agustinia,5 metros,9 toneladas
Ahshislepelta,80 cm,120 kg
Ajancingenia,70 cm,35 kg
Ajkaceratops,Nan,Nan
Ajnabia,Nan,Nan
Alamosaurus,entre 6 y 7 metros,27 toneladas
Alaskacephale,Nan,80 Kilogramos
Albalophosaurus,80 cm,45 kg
Albertaceratops,"1,9 a 2,5 metros",453 kg
Albertadromeus,20 a 30 cm,15 a 20 kg
Albertavenator,Nan,Nan
Albertonykus,29 cm,1 kg
,Nan,Nan
Albertosaurus,2.8 metros,"2,5 toneladas"
Albinykus,25 cm,800 g
Alcovasaurus,2 metros,Nan
Alectrosaurus,2 metros,"1,2 toneladas"
Aletopelta,2 metros,500 kg
Algoasaurus,"2,7 metros",3 toneladas
Alioramus,2 metros,400 kg
,Nan,Nan
,Nan,Nan
,Nan,Nan
Allosaurus,2 a 3 metros (según la especie),"1,5 - 3 toneladas (según la especie)"
Alnashetri,20 cm,"1,2 kg"
Alocodon,50 cm,30 kg
Altirhinus,2 metros,"1,4 toneladas"
Altispinax,"2,1 metros",1 tonelada
,Nan,Nan
Alvarezsaurus,70 cm,20 kg
,Nan,Nan
Alxasaurus,2 metros,320 kg
Amanzia,2-3 metros,Nan
Amargasaurus,4 metros,8 toneladas
Amargastegos,1 metros,500 kg
Amargatitanis,Nan,47 toneladas
Amazonsaurus,"2,8 metros","3,7 toneladas"
Ambopteryx,Nan,306 gramos
Ammosaurus,"1,8 metros erguido",45 kilogramos
Ampelosaurus,"3,8 metros",6 toneladas
Amphicoelias,5 metros (A. Altus) 10 metros (A. Fragillimus),"30 toneladas (A. Altus) 122,4 toneladas (A. Fragillimus)"
Amurosaurus,2-3 metros,"1,5 toneladas"
Amygdalodon,4 metros,Nan
Anabisetia,60 cm,25 kg
,Nan,Nan
Anatotitan copei,3 metros (5 en posición bípeda),7 toneladas
Anchiceratops,2 metros,"4,8 toneladas"
Anchiornis,20 cettímetros,2 kg
Anchisaurus,70 cm,25 kg
Andesaurus,6 metros,10 toneladas
Angaturama,"2,3 metros",900 kg
Aniksosaurus,70 cm,120 kg
,Nan,Nan
Ankylosaurus,"2,40 metros de los pies hasta la espina mas alta y de los pies hasta la espalda 2,30",8 toneladas
Anodontosaurus,1-2 metros,"2,5 toneladas"
Anserimimus,"1,7 metros",60 kg
Antarctopelta,Nan,Nan
Antarctosaurus,"6 a 8 m, 12 m (cuello erguido) y 20 m (posado en 2 patas)",Entre 20 y 60 toneladas
Antrodemus,"3,1 metros","2,4 toneladas"
Anzu,2 metros,200 - 300 Kilogramos
Aoniraptor,Nan,Nan
Apatodon,3 metros,"2,6 toneladas"
Apatoraptor,Nan,150-180 kilogramos
Apatosaurus,"4,4 metros",31 toneladas
Appalachiosaurus,3 metros,4 toneladas
Aquilops,40 cm aprox,entre 5 a 7 Kg
Arackar licanantay,Nan,Nan
Aragosaurus,8 metros,22 toneladas
Aralosaurus tuberiferus,"2,5 metros",5 toneladas
Aratasaurus,Nan,Nan
Archaeoceratops,Nan,24 kg
Archaeodontosaurus,Nan,4 a 5 Toneladas
,Nan,Nan
Archaeornithomimus,"1,6 metros",75 kg
Arcovenator,"2,5 metros",450 kg
Arenysaurus,"1,5 a 2,5 Metros",1 - 2 Toneladas
Argentinosaurus,"6,8 Metros (Hasta los hombros)",75 toneladas
,Nan,Nan
Argyrosaurus,6 metros,16 toneladas
Aristosuchus,1 metro,30 kg
Arkansaurus,2 metros,200 kg
Arrhinoceratops,"2,4 metros",6 toneladas
,Nan,Nan
Asfaltovenator,"2,3 metros",2 toneladas
,Nan,Nan
Astrodon,9 metros,7 toneladas
,Nan,Nan
Atlantosaurus,4 metros,17 toneladas
Atlasaurus,"4,5 metros",12 toneladas
Atlascopcosaurus,70 cm,95 kg
Atrociraptor,50 cm,25 kg
Atsinganosaurus,12 metros,5 toneladas
Aublysodon,"1,6 metros",800 kg
Aucasaurus garridoi,"2,4 metros",700 kilogramos
Augustynolophus,Nan,Nan
Auroraceratops,Nan,Nan
Aurornis,15 cm,140 gramos
Australovenator,2 metros,500-1000 kilogramos
Austrocheirus,"1,4 metros",640 kg
Austroposeidon,Nan,Nan
Austroraptor cabazai,2 metros,400 kg
Austrosaurus,Nan,10 toneladas
Avaceratops,80 cm,60 kg
,Nan,Nan
Aviatyrannis,30 centímetros,38 kilos
Avimimus,1 metro,20 kg
Avipes,2mts,14 klg
Bactrosaurus,2 metros,"1,5 toneladas"
Bagaceratops,20 cm,30 kg
Bagaraatan,"1,3 metros",75 kg
Bagualia,4.5 metros,Nan
Bahariasaurus,"3,5 metros",4 toneladas
Bajadasaurus,Nan,Nan
Balaur bondoc,80 centímetros,20 kilogramos
Balochisaurus,"max 2,50 m",Nan
Bambiraptor,30 centímetros,2 kg
Banji,Nan,Nan
Barapasaurus,5 a 6 metros,12 toneladas
Barosaurus,6 metros,34 toneladas
Barrosasaurus,Nan,Nan
Barsboldia,"2,7 metros","3,2 toneladas"
,Nan,Nan
Baryonyx,2.5 metros a la cadera,1.700-2.700 kilogramos
Baurutitan,3 metros,4 toneladas
Bayosaurus,"1,2 metros",570 kg
Becklespinax,"2,3 metros","2,8 toneladas"
Beg tse,Nan,15-20 kilogramos
Beipiaosaurus,"1,7 metros",85 kg
Beishanlong,3 mts,54 klg
Berberosaurus,"1,2 metros",30 kg
Berthasaura,Nan,10 kg.
Betasuchus,80 cm,38 kg
Bicentenaria,85 cm,40 kg
Bienosaurus,50 cm,40 kg
Bistahiversor,"2,8 metros","1,2 toneladas"
Blasisaurus,3 metros,Nan
,Nan,Nan
,Nan,Nan
,Nan,Nan
Bonapartenykus,1 metros,20 kg
Bonapartesaurus,Nan,Nan
Bonatitan,"1,5 metros",3 toneladas
Bonitasaura,4 metros,5 toneladas
Borealosaurus,Nan,10 toneladas
Borogovia,80 cm,30 kg
Bothriospondylus,5 metros,15 toneladas
,Nan,Nan
Brachiosaurus,12 - 15 metros,33 - 37 toneladas
Brachyceratops,"1,55 metros",450 kg
Brachylophosaurus,"2,5 metros","3,7 toneladas"
Brachytrachelopan,3 metros,4 toneladas
Bradycneme,Nan,Nan
Bravasaurus,2 metros,Nan
Breviparopus,7 - 33 metros,55 - 63 t posiblemente
Brighstoneous,Nan,1 tonelada.
Brohisaurus,12 metros,Nan
Brontomerus,5 metros,6 toneladas
Brontosaurus,"4,2 metros",30 toneladas
Bruhathkayosaurus,Entre 4 y 7 metros,Entre 80 y 220 toneladas
Buitreraptor,40 cm,5 kg
Buriolestes,60 centímetros,Nan
Byronosaurus,50 cm,14 kg
Caenagnathasia,"1,37 mts",509 klg
Caenagnathus,Nan,30-90 kilogramos
Caihong,40 cm,475 g
Callovosaurus,0.8 metros,230 kg
Camarasaurus,9 metros,26 toneladas
Camarillasaurus,"1,3 metros",50 kilogramos
camelotia,"2,5",1 tonelada
Camposaurus,1 metro,27 kg
Camptosaurus dispar,2.5 metros,2 toneladas
Lobo de Edward,65 cm (hombro),35 kg (macho)
,Nan,Nan
Carcharodontosaurus,"3,5 metros a 6 (según la especie)","4,2 a 8 toneladas (según la especie)"
,Nan,Nan
Carnotaurus,"3,5 metros","1,3 - 2,1 toneladas"
Cathartesaura,6 metros,15 toneladas
Caudipteryx,30 cm,6 kg
Cedarosaurus,5 metros,10 toneladas
Cedarpelta,Nan,Nan
Centrosaurus,"2,3 metros",4 toneladas
Cerasinops,90 cm,15 kilos
Ceratonykus,50 cm,Nan
Ceratops,Nan,Nan
,Nan,Nan
Ceratosaurus,2 metros,1 tonelada
Ceratosuchops,Nan,2 toneladas.
Cetiosauriscus greppini,"2,6 metros",10 toneladas
Cetiosaurus medius,5 metros,27 toneladas
,Nan,Nan
Changmiania,Nan,Nan
Changyuraptor,40 centímetros,"4,1 Kilogramos"
Chaoyangsaurus,1 mts,108kg
Charonosaurus,"3,5 metros","2,5 toneladas"
Chasmosaurus,2 metros,4 toneladas
Chebsaurus,Nan,4 toneladas
Chenanisaurus,Nan,Nan
Chialingosaurus,"1,6 metros",650 kg
Chilantaisaurus,"3,2 metros","5,5 toneladas"
Chilesaurus,1 metro,60 kilos
Chindesaurus,1 metro,Nan
Chirostenotes,1 metro,60 kg
Choconsaurus,Nan,Nan
Chuanjiesaurus,6 metros,18 toneladas
Chuanqilong,Nan,450 Kilogramos
Chubutisaurus,7 metros,18 toneladas
Chungkingosaurus,"1,5 metros",560 kg
Citipati,2-3 metros,Nan
Claosaurus,"1,4 metros",300 kg
Coahuilaceratops,2 metros,"1,8 toneladas"
Coelophysis,"1,4 metros",Entre 15 y 30 kg
,Nan,Nan
Coelurus,70 cm,40 kg
Colepiocephale,Nan,Nan
Coloradisaurus,2 metros,230 kg
Comahuesaurus,6 metros,14 toneladas
,Nan,Nan
Compsognathus,40 centímetros,3 kg
Compsosuchus,80 cm,43 kg
Concavenator,1.9 metros,400 kilogramos
Conchoraptor,50 cm,27 kg
Condorraptor,"2,4 metros",890 kg
Coronosaurus,Nan,2 toneladas
,Nan,Nan
Corythosaurus,3.2 metros (5 erguido),4 toneladas
Craterosaururs,1.5 metros,300 kg
Crichtonsaurus,1 metro,500kg
Cristatusaurus,"2,7 metros","1,8 toneladas"
Cryolophosaurus ellioti,"3,1 metros",500 kilogramos
Cryptovolans,40 centimetros,3 kilos
Daanosaurus,9 metros,30 toneladas
Dacentrurus,"1,6 metros",650 kg
Daemonosaurus,Nan,22 kilogramos
Dahalokely,"1,6 metros",130 kg
Dakotadon,Nan,Nan
Dakotaraptor,2 metros,453 kilogramos
Daliansaurus,30 centímetros,5 kilogramos
Damalasaurus,9 metros,12 toneladas
,Nan,Nan
Daspletosaurus,3 metros,3 toneladas
,Nan,Nan
Datousaurus,4 metros,13 toneladas
Daxiatitan,13 metros,40-50 toneladas
Deinocheirus,"3,3 - 3,6 metros",4 - 7 toneladas
Deinodon,"2,4 metros","1,2 toneladas"
Deinonychus,"1,30 a 1,80 metros",89 kg
Delapparentia,3 Metros,"3,5 Toneladas"
Deltadromeus,"2,8 metros",2 toneladas
Demandasaurus,"3,9 metros",12 toneladas
Denversaurus,"1,7 metros",3 toneladas
Diabloceratops,"2,7 metros","1,6 toneladas"
Diamantinasaurus,"3,5 metros",15 toneladas
Dicraeosaurus,3 metros,"7,5 toneladas"
Dilong,70 cm,65 kg
Dilophosaurus,"2,10 metros de los pies hasta la cabeza 2,20 metros de los pies hasta las crestas",400-500 kg
Diluvicursor,"1,2 metros",Nan
Dineobellator,Nan,Nan
Dinheirosaurus,4 metros,15 toneladas
Dinodocus,11 metros,28 toneladas
,Nan,Nan
,Nan,Nan
,Nan,Nan
Dinosaurios en combate,Nan,Nan
,Nan,Nan
Diplodocus,5-7 metros,Entre 15 y 23 toneladas
Dracopelta,60 cm,300 kg
Dracorex,Nan,Nan
Dracovenator,2 metros,1 tonelada
Dreadnoughtus,8 metros (holotipo),40 toneladas (holotipo)
,Nan,Nan
Dromaeosauroides,50 centímetros,45 kilogramos
Dromaeosaurus,50 cm,28 kg
,Nan,Nan
Dromiceiomimus,"2,2 metros",85 kg
Drusilasaura,Nan,Nan
Dryosaurus,Entre 70 y 140 cm,Entre 50 y 120 kg
Dryptosauroides,2 metros,500 kg
Dryptosaurus,"2,2 metros","2,6 toneladas"
Dubreuillosaurus,"2,1 m",250 kilogramos
Dynamoterror.,Nan,5 toneladas.
Dyoplosaurus,"1,8 metros",6 toneladas
Dysalotosaurus,Nan,Nan
Dyslocosaurus,"5,6 metros",18 toneladas
Dystrophaeus,3-4 metros,12 toneladas
Dystylosaurus,5 metros,26 toneladas
Dzharatitanis,Nan,Nan
Echinodon,50 cm,Nan
Edmarka,4 metros,"4,5 toneladas"
Edmontonia,"2,3 metros",4 toneladas
Edmontosaurus,"3,6 metros","6,2 toneladas"
Einiosaurus,"1,8 metros","4,3 toneladas"
Ekrixinatosaurus,"3,2 metros",4 toneladas
,Nan,Nan
Elaphrosaurus,"2,2 metros",200 kg
Elmisaurus,"1,5 metros",90 kg
Elopteryx,10 cm,10 kilos
Emausaurus,80 cm,70 kg
Enigmosaurus,"3,8 metros",1 tonelada
Eoabelisaurus,"2,2 metros",700 kg
Eobrontosaurus,6 metros,34 toneladas
Eocarcharia,"2,8metros",3 tonaladas
Eoceratops,2 metros,900 kg
Eocursor,37 cm,20 kg
Eodromaeus,80 cm,20 kg
Eolambia,4 metros,4 toneladas
Eoraptor,40 cm,12 kg aprox.
,Nan,Nan
Eotriceratops,4 metros,10 toneladas
Eotyrannus,"1,90 metros",1 tonelada
Eousdryosaurus,Nan,Nan
Epachthosaurus,5 metros,12 toneladas
Epanterias,"3,4 metros",5 toneladas
Epidendrosaurus,12 cm,"2,5 kg"
Epidexipteryx,13 cm,120 gramos
,Nan,Nan
Erlikosaurus,"2,4 metros",2 toneladas
Eshanosaurus,"1,6 metros",180 kg
Espinosaurido australiano (Aussiespinus),Nan,Nan
Eucentrosaurus,"2,2 metros","2,7 toneladas"
Eucnemesaurus,3 metros,"1,6 toneladas"
Euhelopus,12 metros,10 toneladas
Euoplocephalus,"1,8 metros",2 toneladas
Euparkeria,30 cm,9 kg
Europasaurus,"2,7 metros","2,7 T"
Europatitan,13 metros,35 toneladas
Europelta,"1,7 metros",5 toneladas
Euskelosaurus,"3,5 metros","3,2 toneladas"
Eustreptospondylus,"1,3 - 1,7 metros",230 - 500 kg
Fabrosaurus,60 cm,7 kg
Falcarius,Nan,Nan
,Nan,Nan
Fosterovenator,Nan,Nan
Fostoria dhimbangunmal,Nan,Nan
Herrerasaurus ischigualastensis,"1,8 metros",80 a 100 kg.
Fukuiraptor,"1,7 metros",390 kg
Fukuisaurus,Nan,400 kg
Fulgurotherium,55 centímetros,20 kg
Futalognkosaurus,15 metros,80 toneladas
Galeamopus,Nan,Nan
Gallimimus,3 metros,650 kg
Galveosaurus,4 metros,8 toneladas
Gargoyleosaurus,"1 metro, aproximadamente",1 tonelada
Garrigatitan,Nan,Nan
Garudimimus,"1,8 metros",70 kg
Gasosaurus,"1,8 metros",380 kg
Gasparinisaura,60 cm,13 kg
Gastonia,"1,2 metros","1,3 toneladas"
,Nan,Nan
Genusaurus,"1,2 metros",100 kg
Genyodectes,"2,1 metros",3 toneladas
Geranosaurus,60 cm,10 kg
Gideonmantellia,"1,50 Metros",50 Kg a 100 Kg
Giganotosaurus,4 Metros,6-9 Toneladas
Gigantoraptor,6.5 m (hasta la cabeza) y 3.5 m ( hasta las caderas,2.7 toneladas
Gigantosaurus,7 metros,"19,5 toneladas"
